Trace Length,Noise Percentage,Alphabet,Constraints,Grounding Time,Fast-Downward Costs,Fast-Downward Preprocessing,Fast-Downward Searching,Fast-Downward Steps,Symba Costs,Symba Preprocessing,Symba Searching,Symba Steps,Average Grounding Time (s),Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
20,30%,8,1,58018,16,0.13375355,0.0162867,36,0,0,0,0,58.018,,,,,,,,,,,,
20,30%,8,3,159628,16,0.1437396,0.025037,35.1,0,0,0,0,159.628,,,,,,,,,,,,
20,30%,8,3,86804,0,0,0,0,16,0.177,0.145,35.1,86.804,,,,,,,,,,,,
20,30%,8,5,154488,15.05,0.14272045,0.02361275,31.9,0,0,0,0,154.488,,,,,,,,,,,,
20,30%,8,5,85596,0,0,0,0,15.05,0.176,0.128,31.9,85.596,,,,,,,,,,,,
20,30%,8,7,100625,0,0,0,0,15.95,0.1795,0.1655,30.55,100.625,,,,,,,,,,,,
20,30%,8,7,181122,15.95,0.14577055,0.06354705,30.4,0,0,0,0,181.122,,,,,,,,,,,,
30,0%,8,1,13383,14.25,0.1363303,0.01612925,42.75,0,0,0,0,13.383,,,,,,,,,,,,
30,0%,8,1,8005,0,0,0,0,15,0.1685,0.1215,45,8.005,,,,,,,,,,,,
30,0%,8,3,19267,0,0,0,0,15,0.189,0.186,46,19.267,,,,,,,,,,,,
30,0%,8,3,32272,15,0.14713825,0.0269459,46,0,0,0,0,32.272,,,,,,,,,,,,
30,0%,8,5,19645,0,0,0,0,15,0.1915,0.1845,46,19.645,,,,,,,,,,,,
30,0%,8,5,32749,15,0.14757175,0.0265421,46,0,0,0,0,32.749,,,,,,,,,,,,
30,0%,8,7,23571,0,0,0,0,15.85,0.165,0.2375,45.15,23.571,,,,,,,,,,,,
30,0%,8,7,39615,15.85,0.151028,0.0756905,45.15,0,0,0,0,39.615,,,,,,,,,,,,
30,10%,8,1,35531,0,0,0,0,18,0.173,0.1325,48,35.531,,,,,,,,,,,,
30,10%,8,1,61306,17.55,0.13799065,0.0190631,47.55,0,0,0,0,61.306,,,,,,,,,,,,
30,10%,8,3,155469,18,0.14722015,0.0315678,46.3,0,0,0,0,155.469,,,,,,,,,,,,
30,10%,8,3,85633,0,0,0,0,18,0.1955,0.1835,46.3,85.633,,,,,,,,,,,,
30,10%,8,5,158975,17.3,0.1471505,0.02974705,43.9,0,0,0,0,158.975,,,,,,,,,,,,
30,10%,8,5,85725,0,0,0,0,17.3,0.1905,0.1815,43.9,85.725,,,,,,,,,,,,
30,10%,8,7,101825,0,0,0,0,18.55,0.176,0.232,44.05,101.825,,,,,,,,,,,,
30,10%,8,7,186624,18.55,0.15137285,0.09001745,44.2,0,0,0,0,186.624,,,,,,,,,,,,
30,20%,8,1,35053,0,0,0,0,21,0.178,0.149,51,35.053,,,,,,,,,,,,
30,20%,8,1,62038,21,0.1367855,0.02072185,51,0,0,0,0,62.038,,,,,,,,,,,,
30,20%,8,3,136083,21,0.1476646,0.0344384,49.3,0,0,0,0,136.083,,,,,,,,,,,,
30,20%,8,3,85560,0,0,0,0,21,0.1625,0.2075,49.3,85.56,,,,,,,,,,,,
30,20%,8,5,157626,20.15,0.1471026,0.0319863,45.15,0,0,0,0,157.626,,,,,,,,,,,,
30,20%,8,5,85575,0,0,0,0,20.15,0.1795,0.195,45.15,85.575,,,,,,,,,,,,
30,20%,8,7,101326,0,0,0,0,21.1,0.1745,0.2385,43.4,101.326,,,,,,,,,,,,
30,20%,8,7,183310,21.1,0.1508115,0.09630405,43.55,0,0,0,0,183.31,,,,,,,,,,,,
30,30%,8,1,35112,0,0,0,0,24,0.1475,0.1615,54,35.112,,,,,,,,,,,,
30,30%,8,1,61795,24,0.1371186,0.0220971,54,0,0,0,0,61.795,,,,,,,,,,,,
30,30%,8,3,151510,24,0.148076,0.03746215,52.3,0,0,0,0,151.51,,,,,,,,,,,,
30,30%,8,3,86163,0,0,0,0,24,0.1685,0.2285,52.3,86.163,,,,,,,,,,,,
30,30%,8,5,156622,23,0.1477055,0.034339,47.15,0,0,0,0,156.622,,,,,,,,,,,,
30,30%,8,5,85916,0,0,0,0,23,0.169,0.211,47.15,85.916,,,,,,,,,,,,
30,30%,8,7,100127,0,0,0,0,23.6,0.168,0.252,44.3,100.127,,,,,,,,,,,,
30,30%,8,7,181681,23.6,0.1501326,0.10249085,44.3,0,0,0,0,181.681,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,,
